image_path,label,label_idx
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro128.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro136.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro145.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro072.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro024.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro119.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro004.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro003.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro049.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro142.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro006.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro045.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro092.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro134.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro089.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro106.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro010.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro029.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro135.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro044.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro124.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro141.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro039.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro098.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro037.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro138.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro066.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro075.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro027.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro040.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped/miro061.jpg,Algod├úo (Cotton) - Mancha de Mirotecio (Myrothecium leaf spot) - Cropped,0
